Model,Fusion,Other,Epoch,Train_Loss,Val_Loss,Test_Loss,Confusion
Res18,Self_Attention,NA,1,0.457,0.334,NA,[[333 22 3 14] [ 68 674 15 11] [ 10 20 319 3] [ 49 15 1 243]]
Res18,Self_Attention,NA,2,0.2606,0.3123,NA,[[329 31 1 11] [ 35 718 7 8] [ 7 20 321 4] [ 40 21 0 247]]
Res18,Self_Attention,NA,3,0.1973,0.2871,NA,[[328 30 2 12] [ 33 706 16 13] [ 7 21 320 4] [ 23 17 0 268]]
Res18,Self_Attention,NA,4,0.156,0.3175,NA,[[321 27 8 16] [ 28 711 20 9] [ 4 17 328 3] [ 18 18 5 267]]
Res18,Self_Attention,NA,Test,NA,NA,0.4996,[[500 101 33 61] [ 51 982 37 16] [ 15 20 761 3] [ 64 88 25 675]]
Res18,MLP,NA,1,0.4989,0.3339,NA,[[300 41 10 21] [ 41 691 26 10] [ 4 17 328 3] [ 17 17 6 268]]
Res18,MLP,NA,2,0.2668,0.2975,NA,[[325 29 1 17] [ 37 712 10 9] [ 10 21 317 4] [ 24 23 0 261]]
Res18,MLP,NA,3,0.1959,0.2983,NA,[[334 20 4 14] [ 47 702 7 12] [ 8 26 314 4] [ 23 12 0 273]]
Res18,MLP,NA,4,0.1569,0.3457,NA,[[307 39 6 20] [ 26 710 22 10] [ 4 19 325 4] [ 16 19 3 270]]
Res18,MLP,NA,Test,NA,NA,0.4953,[[476 117 33 69] [ 36 989 44 17] [ 10 25 760 4] [ 51 78 24 699]]
Res18,Bilinear,NA,1,0.4767,0.317,NA,[[285 60 2 25] [ 24 714 15 15] [ 1 27 320 4] [ 16 19 1 272]]
Res18,Bilinear,NA,2,0.2635,0.2875,NA,[[305 50 2 15] [ 25 726 8 9] [ 3 22 324 3] [ 18 21 2 267]]
Res18,Bilinear,NA,3,0.2024,0.2992,NA,[[327 27 2 16] [ 33 716 11 8] [ 4 19 325 4] [ 21 23 1 263]]
Res18,Bilinear,NA,4,0.1627,0.1627,NA,[[342 16 3 11] [ 56 688 16 8] [ 6 20 322 4] [ 42 19 1 246]]
Res18,Bilinear,NA,Test,NA,NA,0.5367,[[599 64 18 14] [ 99 941 39 7] [ 32 22 742 3] [148 96 15 593]]
Res18,Gating,NA,1,0.5415,0.333,NA,[[298 51 6 17] [ 32 710 17 9] [ 4 22 323 3] [ 29 22 5 252]]
Res18,Gating,NA,2,0.296,0.3107,NA,[[313 34 3 22] [ 36 675 31 26] [ 6 17 326 3] [ 15 8 4 281]]
Res18,Gating,NA,3,0.2313,0.3369,NA,[[316 28 1 27] [ 43 690 5 30] [ 11 27 309 5] [ 12 9 0 287]]
Res18,Gating,NA,4,0.1926,0.3289,NA,[[303 49 3 17] [ 25 707 20 16] [ 5 16 327 4] [ 10 18 4 276]]
Res18,Gating,NA,Test,NA,NA,0.4768,[[442 151 28 74] [ 29 995 40 22] [ 10 21 762 6] [ 45 78 17 712]]
Res50,Gating,NA,1,0.4458,0.3161,NA,[[328 27 4 13] [ 45 702 14 7] [ 9 18 321 4] [ 33 18 2 255]]
Res50,Gating,NA,2,0.2574,0.2884,NA,[[317 29 8 18] [ 30 695 30 13] [ 5 17 326 4] [ 21 13 0 274]]
Res50,Gating,NA,3,0.1943,0.3003,NA,[[322 33 6 11] [ 29 710 17 12] [ 6 22 320 4] [ 25 18 1 264]]
Res50,Gating,NA,4,0.1584,0.3171,NA,[[318 31 6 17] [ 30 705 22 11] [ 6 19 325 2] [ 19 18 4 267]]
Res50,Gating,NA,Test,NA,NA,0.4935,[[495 120 29 51] [ 38 991 43 14] [ 17 21 756 5] [ 53 100 24 675]]
Res50,Gating,class_balance,1,0.4106,0.3581,NA,[[324 19 5 24] [ 68 646 34 20] [ 8 14 327 3] [ 22 16 3 267]]
Res50,Gating,class_balance,2,0.2303,0.3172,NA,[[333 21 1 17] [ 46 692 13 17] [ 11 15 321 5] [ 13 18 0 277]]
Res50,Gating,class_balance,3,0.1822,0.3428,NA,[[326 23 6 17] [ 34 708 12 14] [ 7 20 320 5] [ 21 16 1 270]]
Res50,Gating,class_balance,4,0.1457,0.33,NA,[[324 25 6 17] [ 32 712 15 9] [ 7 24 317 4] [ 15 21 1 271]]
Res50,Gating,class_balance,Test,NA,NA,0.5175,[[488 106 23 78] [ 51 987 37 11] [ 23 28 739 9] [ 50 102 15 685]]
Res18,MLP,05_dropout,1,0.5016,0.3525,NA,[[326 23 1 22] [ 67 653 36 12] [ 10 13 324 5] [ 16 23 2 267]]
Res18,MLP,05_dropout,2,0.2522,0.3399,NA,[[333 13 5 21] [ 71 639 40 18] [ 7 12 329 4] [ 20 14 3 271]]
Res18,MLP,05_dropout,3,0.1975,0.3097,NA,[[329 23 1 19] [ 35 700 12 21] [ 10 21 316 5] [ 13 15 1 279]]
Res18,MLP,05_dropout,4,0.1627,0.3213,NA,[[311 29 9 23] [ 27 692 26 23] [ 5 18 325 4] [ 12 14 4 278]]
Res18,MLP,05_dropout,Test,NA,NA,0.4562,[[475 98 36 86] [ 47 967 47 25] [ 12 20 764 3] [ 52 59 16 725]]
VisTrans16,Gating,last_block,1,0.5373,0.3192,NA,[[299 47 4 22] [ 31 711 15 11] [ 6 21 322 3] [ 24 22 2 260]]
VisTrans16,Gating,last_block,2,0.2649,0.2952,NA,[[318 34 1 19] [ 33 711 8 16] [ 4 26 317 5] [ 21 17 0 270]]
VisTrans16,Gating,last_block,3,0.1989,0.3014,NA,[[333 23 1 15] [ 42 695 14 17] [ 7 21 321 3] [ 22 16 0 270]]
VisTrans16,Gating,last_block,4,0.1586,0.2869,NA,[[329 29 1 13] [ 30 710 17 11] [ 4 22 322 4] [ 21 22 0 265]]
VisTrans16,Gating,last_block,Test,NA,NA,0.4506,[[516 108 15 56] [ 46 989 38 13] [ 24 26 745 4] [ 69 90 18 675]]
VisTrans16,Gating,two_block,1,0.5098,0.3196,NA,[[305 46 1 20] [ 31 716 15 6] [ 9 23 317 3] [ 24 27 0 257]]
VisTrans16,Gating,two_block,2,0.2649,0.283,NA,[[305 46 1 20] [ 31 716 15 6] [ 9 23 317 3] [ 24 27 0 257]]
VisTrans16,Gating,two_block,3,0.2037,0.305,NA,[[333 28 1 10] [ 35 707 18 8] [ 4 19 326 3] [ 34 19 0 255]]
VisTrans16,Gating,two_block,4,0.1477,0.2943,NA,[[314 36 4 18] [ 24 717 15 12] [ 2 20 326 4] [ 21 21 1 265]]
VisTrans16,Gating,two_block,Test,NA,NA,0.4373,[[ 499 121 19 56] [ 30 1002 39 15] [ 17 25 751 6] [ 58 85 20 689]]
RegNet,Gating,NA,1,0.5391,0.3409,NA,[[301 46 3 22] [ 51 694 9 14] [ 11 24 312 5] [ 20 27 0 261]]
RegNet,Gating,NA,2,0.2772,0.3359,NA,[[332 17 4 19] [ 69 656 29 14] [ 13 11 325 3] [ 23 15 4 266]]
RegNet,Gating,NA,3,0.226,0.3177,NA,[[322 21 8 21] [ 49 679 20 20] [ 6 17 325 4] [ 19 12 3 274]]
